u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
98042452,10302026134,0,11838506,False,Ngõ 19 Liễu Giai,residential,False,8.776,,"LINESTRING (105.8143797 21.0347047, 105.8144618 21.0346858)",,
98042452,2062618626,0,252400871,True,Phố Liễu Giai,primary,False,43.705,2,"LINESTRING (105.8143797 21.0347047, 105.8144966 21.0350823)",,
106094000,10302026142,0,37567094,True,Đường Văn Cao,primary,False,17.29,2,"LINESTRING (105.8151156 21.0370748, 105.8151558 21.0372257)",,
106094000,106094001,0,196077638,False,Phố Đội Cấn,secondary,True,25.955,2,"LINESTRING (105.8151156 21.0370748, 105.8149064 21.0372027)",,
106094000,10302026140,0,703141278,False,Phố Đội Cấn,secondary,False,11.99,2,"LINESTRING (105.8151156 21.0370748, 105.815214 21.0370183)",,
106094001,106094000,0,196077638,False,Phố Đội Cấn,secondary,False,25.955,2,"LINESTRING (105.8149064 21.0372027, 105.8151156 21.0370748)",,
106094001,10302026133,0,228474145,False,Phố Đội Cấn,secondary,True,14.134,2,"LINESTRING (105.8149064 21.0372027, 105.8147906 21.0372696)",,
106095678,8299505983,0,11838073,False,Phố Đốc Ngữ,residential,False,15.432,,"LINESTRING (105.8133858 21.0379433, 105.8132777 21.0380386)",,
106095678,5709910413,0,228474145,False,Phố Đội Cấn,secondary,False,48.522000000000006,2,"LINESTRING (105.8133858 21.0379433, 105.8136517 21.0378716, 105.8138189 21.0377859)",,
106098690,2062617518,0,194422287,False,Phố Vạn Bảo,tertiary,False,22.097,1,"LINESTRING (105.8170105 21.0335594, 105.8170689 21.0337505)",,
106098690,2062617518,1,"[702926081, 684288620, 195844847]",False,"['Ngõ 40 Vạn Bảo', 'Ngõ 36 Vạn Bảo']",residential,False,200.14299999999997,,"LINESTRING (105.8170105 21.0335594, 105.8161894 21.0337408, 105.8162471 21.0339531, 105.8170689 21.0337505)",,
106098690,6603139954,0,194422287,False,Phố Vạn Bảo,tertiary,True,18.325,1,"LINESTRING (105.8170105 21.0335594, 105.8169805 21.033397)",,
106098695,6603270370,0,194422287,False,Phố Vạn Bảo,tertiary,False,18.087,1,"LINESTRING (105.8172348 21.034173, 105.8173052 21.0343218)",,
106098695,106099279,0,194422287,False,Phố Vạn Bảo,tertiary,True,18.215,1,"LINESTRING (105.8172348 21.034173, 105.8171678 21.0340216)",,
106098695,6410707201,0,684288622,False,Ngõ 49 Vạn Bảo,residential,False,31.179,,"LINESTRING (105.8172348 21.034173, 105.8175127 21.0340665)",,
106098697,6603125168,0,194422287,False,Phố Vạn Bảo,tertiary,False,34.947,1,"LINESTRING (105.8175344 21.0348241, 105.8176534 21.0351181)",,
106098697,5716625618,0,601484966,False,Ngõ 21 Vạn Bảo,residential,False,27.363,,"LINESTRING (105.8175344 21.0348241, 105.8177838 21.0347443)",,
106098697,6603125170,0,194422287,False,Phố Vạn Bảo,tertiary,True,27.977,1,"LINESTRING (105.8175344 21.0348241, 105.8174835 21.034703, 105.8174325 21.0345912)",,
106098698,6603125168,0,194422287,False,Phố Vạn Bảo,tertiary,True,54.853,1,"LINESTRING (105.8178868 21.0355607, 105.8176534 21.0351181)",,
106098698,6642019901,0,703141277,False,Phố Đội Cấn,secondary,False,29.257,2,"LINESTRING (105.8178868 21.0355607, 105.8181605 21.0354977)",,
106098698,6641988472,0,703141278,False,Phố Đội Cấn,secondary,True,16.987,2,"LINESTRING (105.8178868 21.0355607, 105.817736 21.0356201)",,
106099274,2062618427,0,11838506,False,Ngõ 19 Liễu Giai,residential,False,33.053,,"LINESTRING (105.8147965 21.0346086, 105.8151068 21.0345417)",,
106099274,10302026134,0,11838506,False,Ngõ 19 Liễu Giai,residential,True,35.782,,"LINESTRING (105.8147965 21.0346086, 105.8144618 21.0346858)",,
106099274,2062618841,0,"[702926084, 195844868]",False,Ngách 19/2 Liễu Giai,residential,True,78.054,,"LINESTRING (105.8147965 21.0346086, 105.81472 21.034299, 105.8151192 21.0342052)",alley,
