osmid,y,x,street_count,highway,geometry
98042452,21.0347047,105.8143797,3,,POINT (105.8143797 21.0347047)
106094000,21.0370748,105.8151156,4,,POINT (105.8151156 21.0370748)
106094001,21.0372027,105.8149064,4,,POINT (105.8149064 21.0372027)
106095678,21.0379433,105.8133858,3,,POINT (105.8133858 21.0379433)
106098690,21.0335594,105.8170105,3,,POINT (105.8170105 21.0335594)
106098695,21.034173,105.8172348,3,,POINT (105.8172348 21.034173)
106098697,21.0348241,105.8175344,3,,POINT (105.8175344 21.0348241)
106098698,21.0355607,105.8178868,3,,POINT (105.8178868 21.0355607)
106099274,21.0346086,105.8147965,3,,POINT (105.8147965 21.0346086)
106099276,21.0343185,105.8160597,3,,POINT (105.8160597 21.0343185)
106099277,21.0342804,105.8162177,3,,POINT (105.8162177 21.0342804)
106099279,21.0340216,105.8171678,3,,POINT (105.8171678 21.0340216)
309818608,21.0356774,105.8176432,3,,POINT (105.8176432 21.0356774)
309818611,21.0354266,105.8187117,3,,POINT (105.8187117 21.0354266)
309818648,21.0419711,105.8163784,3,,POINT (105.8163784 21.0419711)
309818668,21.0408499,105.8130603,3,,POINT (105.8130603 21.0408499)
310725727,21.0426222,105.8155452,3,,POINT (105.8155452 21.0426222)
317129397,21.0415078,105.8140445,3,,POINT (105.8140445 21.0415078)
317129402,21.0429637,105.8146368,3,,POINT (105.8146368 21.0429637)
428403800,21.0420676,105.8162967,4,crossing,POINT (105.8162967 21.0420676)
428403807,21.0419139,105.8165567,3,,POINT (105.8165567 21.0419139)
428403810,21.0420464,105.8167666,3,,POINT (105.8167666 21.0420464)
445252274,21.0372335,105.8191084,3,,POINT (105.8191084 21.0372335)
445252275,21.0382059,105.8197765,3,,POINT (105.8197765 21.0382059)
445252360,21.0360644,105.8169117,4,,POINT (105.8169117 21.0360644)
445252433,21.0400426,105.8199971,3,,POINT (105.8199971 21.0400426)
445252449,21.037693,105.816398,3,,POINT (105.816398 21.037693)
445252455,21.0351805,105.8165541,4,,POINT (105.8165541 21.0351805)
445252467,21.0396217,105.8198282,3,,POINT (105.8198282 21.0396217)
445252496,21.0386608,105.8153594,3,,POINT (105.8153594 21.0386608)
445252512,21.0391032,105.8167556,4,,POINT (105.8167556 21.0391032)
445252524,21.0384883,105.8166425,3,,POINT (105.8166425 21.0384883)
445252557,21.0371011,105.8195661,3,,POINT (105.8195661 21.0371011)
445252570,21.041195,105.8202304,3,,POINT (105.8202304 21.041195)
445253739,21.0387173,105.8127707,3,,POINT (105.8127707 21.0387173)
446009103,21.0376602,105.8152786,3,,POINT (105.8152786 21.0376602)
446009104,21.038607,105.8155648,3,,POINT (105.8155648 21.038607)
1694663002,21.0410612,105.8163054,3,,POINT (105.8163054 21.0410612)
1694663004,21.0411127,105.8161075,4,,POINT (105.8161075 21.0411127)
1745116722,21.0356752,105.8146742,3,,POINT (105.8146742 21.0356752)
2057208821,21.0393296,105.8199603,3,,POINT (105.8199603 21.0393296)
2057249063,21.0421259,105.814571,3,,POINT (105.814571 21.0421259)
2057249067,21.0421629,105.8147029,3,,POINT (105.8147029 21.0421629)
2057249068,21.0425517,105.8149165,1,,POINT (105.8149165 21.0425517)
2057249070,21.0419549,105.8143186,3,,POINT (105.8143186 21.0419549)
2057249072,21.0422342,105.8151112,3,,POINT (105.8151112 21.0422342)
2057249073,21.0423697,105.8151788,1,,POINT (105.8151788 21.0423697)
2057249075,21.0426701,105.814696,1,,POINT (105.814696 21.0426701)
2057249076,21.0422145,105.8155972,1,,POINT (105.8155972 21.0422145)
2062617518,21.0337505,105.8170689,4,,POINT (105.8170689 21.0337505)
2062617943,21.0355482,105.8162613,1,,POINT (105.8162613 21.0355482)
2062617983,21.0354697,105.8166768,4,,POINT (105.8166768 21.0354697)
2062618065,21.0352659,105.8160446,1,,POINT (105.8160446 21.0352659)
2062618180,21.0345617,105.8162921,4,,POINT (105.8162921 21.0345617)
2062618309,21.0341473,105.8166905,3,,POINT (105.8166905 21.0341473)
2062618385,21.0347513,105.8151566,3,,POINT (105.8151566 21.0347513)
2062618427,21.0345417,105.8151068,3,,POINT (105.8151068 21.0345417)
2062618485,21.0351422,105.8152256,3,,POINT (105.8152256 21.0351422)
2062618520,21.0352806,105.8145561,3,,POINT (105.8145561 21.0352806)
2062618557,21.0355139,105.8146269,3,,POINT (105.8146269 21.0355139)
2062618593,21.0349278,105.8151907,3,,POINT (105.8151907 21.0349278)
2062618626,21.0350823,105.8144966,3,,POINT (105.8144966 21.0350823)
2062618669,21.0341351,105.8160144,3,,POINT (105.8160144 21.0341351)
2062618740,21.0342787,105.8153764,3,,POINT (105.8153764 21.0342787)
2062618841,21.0342052,105.8151192,3,,POINT (105.8151192 21.0342052)
2062620786,21.0344128,105.8156845,3,,POINT (105.8156845 21.0344128)
2062620805,21.0338215,105.8159058,3,,POINT (105.8159058 21.0338215)
2062620806,21.0339577,105.8152655,1,,POINT (105.8152655 21.0339577)
2062622260,21.0346485,105.8157417,3,,POINT (105.8157417 21.0346485)
2062830314,21.0350099,105.815912,3,,POINT (105.815912 21.0350099)
2062830317,21.0351145,105.8153955,3,,POINT (105.8153955 21.0351145)
2062830360,21.0352268,105.8158843,1,,POINT (105.8158843 21.0352268)
2062830389,21.0348326,105.8158773,3,,POINT (105.8158773 21.0348326)
2062830396,21.0347946,105.8160657,1,,POINT (105.8160657 21.0347946)
2091852926,21.0373904,105.8145488,3,,POINT (105.8145488 21.0373904)
2091852936,21.0375771,105.8150405,3,,POINT (105.8150405 21.0375771)
2175079235,21.0420689,105.8183886,3,,POINT (105.8183886 21.0420689)
2195289142,21.0374458,105.8152145,3,,POINT (105.8152145 21.0374458)
2195289151,21.0369038,105.8154275,3,,POINT (105.8154275 21.0369038)
2428074053,21.0342477,105.8194359,3,,POINT (105.8194359 21.0342477)
2428074060,21.0339883,105.817481,1,,POINT (105.817481 21.0339883)
2428074065,21.0342109,105.8179247,1,,POINT (105.8179247 21.0342109)
2428074075,21.034309,105.8186787,3,,POINT (105.8186787 21.034309)
2428074086,21.0343166,105.8198834,3,,POINT (105.8198834 21.0343166)
2428074112,21.03454,105.8184997,1,,POINT (105.8184997 21.03454)
2428074145,21.0346459,105.8177827,1,,POINT (105.8177827 21.0346459)
2428074162,21.0346988,105.8186932,3,,POINT (105.8186932 21.0346988)
2428074165,21.0346925,105.8185066,3,,POINT (105.8185066 21.0346925)
2428074167,21.0347,105.8183382,1,,POINT (105.8183382 21.0347)
2428074182,21.0347702,105.8187428,3,,POINT (105.8187428 21.0347702)
2428074183,21.0347586,105.8200675,1,,POINT (105.8200675 21.0347586)
2428074184,21.0347565,105.8199552,3,,POINT (105.8199552 21.0347565)
2428074188,21.0347563,105.8194033,3,,POINT (105.8194033 21.0347563)
2428074244,21.0351781,105.8199921,1,,POINT (105.8199921 21.0351781)
2428074479,21.0358743,105.8196843,3,,POINT (105.8196843 21.0358743)
2428074481,21.0358853,105.8196485,3,,POINT (105.8196485 21.0358853)
2428074483,21.0359011,105.819401,1,,POINT (105.819401 21.0359011)
2428074509,21.0360694,105.8165788,3,,POINT (105.8165788 21.0360694)
2428074527,21.0362039,105.8166678,3,,POINT (105.8166678 21.0362039)
2428074599,21.0365045,105.8196698,1,,POINT (105.8196698 21.0365045)
2625487077,21.0352707,105.8202626,3,,POINT (105.8202626 21.0352707)
2631904560,21.0363509,105.8203956,3,,POINT (105.8203956 21.0363509)
2631904570,21.0364784,105.8197975,1,,POINT (105.8197975 21.0364784)
2631904572,21.0363984,105.8199566,3,,POINT (105.8199566 21.0363984)
2631904578,21.0366324,105.8201962,1,,POINT (105.8201962 21.0366324)
2631904580,21.0365102,105.8199962,4,,POINT (105.8199962 21.0365102)
2631904582,21.03656,105.8197975,1,,POINT (105.8197975 21.03656)
2631904584,21.0364746,105.8201532,1,,POINT (105.8201532 21.0364746)
2631904586,21.0365746,105.8200189,3,,POINT (105.8200189 21.0365746)
2631904587,21.0365372,105.8202121,1,,POINT (105.8202121 21.0365372)
2631904591,21.0368737,105.8202564,3,,POINT (105.8202564 21.0368737)
2631904602,21.03688,105.8202188,3,,POINT (105.8202188 21.03688)
2631904604,21.0369983,105.8202731,1,,POINT (105.8202731 21.0369983)
2631904624,21.0365393,105.8185924,3,,POINT (105.8185924 21.0365393)
2631904628,21.0362752,105.818526,3,,POINT (105.818526 21.0362752)
2631904630,21.0361275,105.818593,3,,POINT (105.818593 21.0361275)
2631904636,21.0354064,105.8188356,3,,POINT (105.8188356 21.0354064)
2631904644,21.0370549,105.8189106,3,,POINT (105.8189106 21.0370549)
2631904649,21.0373839,105.8186417,1,,POINT (105.8186417 21.0373839)
2631904651,21.0368018,105.81871,3,,POINT (105.81871 21.0368018)
2631904667,21.036774,105.8179602,3,,POINT (105.8179602 21.036774)
2631904669,21.0369807,105.8180533,3,,POINT (105.8180533 21.0369807)
2631904672,21.0370047,105.8182892,3,,POINT (105.8182892 21.0370047)
2631904673,21.0369677,105.8184152,3,,POINT (105.8184152 21.0369677)
2631904675,21.0369115,105.8184963,3,,POINT (105.8184963 21.0369115)
2631904676,21.0370025,105.818553,1,,POINT (105.818553 21.0370025)
2631904677,21.03702,105.8184479,1,,POINT (105.8184479 21.03702)
2631904679,21.0368216,105.8182425,1,,POINT (105.8182425 21.0368216)
2631904681,21.0370527,105.8178362,1,,POINT (105.8178362 21.0370527)
2631904682,21.0365156,105.8176543,3,,POINT (105.8176543 21.0365156)
2631904685,21.0364729,105.8180136,3,,POINT (105.8180136 21.0364729)
2631904687,21.0362771,105.8181307,3,,POINT (105.8181307 21.0362771)
2631904688,21.0365559,105.8178792,3,,POINT (105.8178792 21.0365559)
2631904689,21.0366168,105.8179109,1,,POINT (105.8179109 21.0366168)
